,ID,LIMIT_BAL,SEX,EDUCATION,MARITAL_STATUS,AGE,INSTALLMENT_1,INSTALLMENT_2,INSTALLMENT_3,INSTALLMENT_AMT_1,INSTALLMENT_AMT_2,INSTALLMENT_AMT_3,INSTALLMENT_PAID_1,INSTALLMENT_PAID_2,INSTALLMENT_PAID_3
0,12194.0,220000.0,2.0,3.0,3.0,54.0,1.0,-2.0,-1.0,0.0,0.0,788.0,0.0,788.0,0.0
1,7068.0,90000.0,2.0,3.0,4.0,30.0,2.0,2.0,3.0,750.0,750.0,750.0,0.0,0.0,0.0
2,1446.0,80000.0,2.0,4.0,4.0,25.0,2.0,3.0,2.0,69602.0,67930.0,72205.0,0.0,6000.0,2700.0
3,318.0,260000.0,2.0,2.0,3.0,53.0,1.0,-1.0,-1.0,0.0,165.0,526.0,165.0,526.0,452.0
4,13732.0,30000.0,2.0,4.0,4.0,23.0,0.0,0.0,0.0,25287.0,26501.0,30300.0,2011.0,5000.0,868.0
5,14502.0,30000.0,2.0,3.0,4.0,27.0,0.0,0.0,0.0,3415.0,4330.0,0.0,1000.0,1000.0,0.0
6,16124.0,160000.0,2.0,4.0,4.0,41.0,0.0,0.0,-2.0,71900.0,0.0,0.0,0.0,0.0,0.0
7,11810.0,360000.0,1.0,3.0,4.0,30.0,0.0,-1.0,-1.0,14409.0,3540.0,500.0,3540.0,500.0,500.0
8,16102.0,570000.0,2.0,3.0,4.0,32.0,0.0,0.0,0.0,47758.0,33050.0,36283.0,3000.0,4880.0,3000.0
9,4143.0,50000.0,1.0,4.0,3.0,31.0,0.0,0.0,0.0,48469.0,48872.0,49429.0,2138.0,2095.0,1711.0
10,3452.0,50000.0,2.0,3.0,4.0,26.0,0.0,0.0,2.0,39052.0,44416.0,43407.0,6000.0,0.0,2000.0
11,18359.0,20000.0,2.0,4.0,4.0,22.0,1.0,2.0,2.0,15706.0,15757.0,15436.0,1000.0,1000.0,1200.0
12,13932.0,70000.0,2.0,2.0,3.0,42.0,0.0,0.0,0.0,6489.0,9372.0,11179.0,3000.0,2000.0,295.0
13,8002.0,140000.0,2.0,4.0,3.0,26.0,0.0,0.0,0.0,41547.0,40925.0,36775.0,2000.0,1800.0,1300.0
14,10868.0,30000.0,1.0,3.0,4.0,25.0,0.0,0.0,-2.0,7833.0,0.0,0.0,0.0,0.0,0.0
15,25538.0,230000.0,2.0,3.0,4.0,37.0,1.0,-2.0,-2.0,-152.0,-152.0,-152.0,0.0,0.0,0.0
16,20513.0,200000.0,1.0,4.0,4.0,27.0,0.0,0.0,0.0,202591.0,202924.0,204693.0,7565.0,9593.0,6919.0
17,17478.0,60000.0,2.0,4.0,3.0,30.0,1.0,2.0,0.0,14135.0,13616.0,16065.0,0.0,3000.0,2300.0
18,7629.0,140000.0,2.0,4.0,4.0,27.0,2.0,0.0,0.0,136308.0,137077.0,138919.0,5150.0,7750.0,5000.0
19,7876.0,160000.0,2.0,3.0,3.0,51.0,0.0,0.0,-1.0,63406.0,64176.0,2348.0,2901.0,2348.0,2447.0
20,4515.0,50000.0,2.0,4.0,3.0,40.0,0.0,0.0,0.0,47374.0,47517.0,42672.0,2200.0,2500.0,5946.0
21,23960.0,20000.0,1.0,3.0,4.0,24.0,1.0,-1.0,-1.0,255.0,541.0,275.0,541.0,275.0,329.0
22,23889.0,50000.0,1.0,3.0,4.0,30.0,0.0,0.0,0.0,50457.0,51400.0,0.0,2400.0,0.0,3794.0
23,17982.0,170000.0,1.0,2.0,4.0,44.0,0.0,0.0,0.0,167077.0,170965.0,172541.0,12275.0,10000.0,8009.0
24,27141.0,490000.0,1.0,4.0,4.0,42.0,0.0,0.0,0.0,455520.0,464727.0,477884.0,16100.0,20000.0,19000.0
25,11121.0,20000.0,2.0,4.0,4.0,23.0,-1.0,-1.0,-1.0,390.0,390.0,390.0,390.0,390.0,390.0
26,28996.0,100000.0,2.0,4.0,4.0,40.0,2.0,0.0,0.0,40626.0,41945.0,45247.0,2000.0,4000.0,1000.0
27,1531.0,160000.0,2.0,3.0,4.0,32.0,-2.0,-2.0,-2.0,16922.0,2552.0,0.0,2555.0,0.0,0.0
28,13054.0,290000.0,1.0,4.0,3.0,40.0,0.0,0.0,0.0,273270.0,272944.0,286497.0,12022.0,24000.0,3.0
29,29660.0,50000.0,1.0,4.0,3.0,37.0,0.0,0.0,0.0,44270.0,42398.0,44346.0,5000.0,3000.0,5000.0
